City_ID,City,Country,Max Temp,Weather Description,Lat,Lng,Hotel Name
4,Sinnamary,GF,79.07,few clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
8,Puerto Ayora,EC,70.56,overcast clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
9,Hithadhoo,MV,77.43,heavy intensity rain,-0.6,73.0833,Scoop Guest House
10,Torbay,CA,70.57,overcast clouds,47.6666,-52.7314,Gallows Cove
11,Westport,US,77.94,clear sky,41.1415,-73.3579,The Westport Inn
16,Jamestown,US,71.24,clear sky,42.097,-79.2353,Hampton Inn & Suites Jamestown
17,Albany,US,74.05,broken clouds,42.6001,-73.9662,
18,Huangchuan,CN,80.67,clear sky,32.1272,115.0394,Guangzhou International Hotel
19,Jibuti,DJ,82.06,light rain,11.5,42.5,Orchid Main Camp Goubet
25,Whitehorse,CA,77.77,broken clouds,60.7161,-135.0538,The Sternwheeler Hotel & Conference Centre
26,Bontang,ID,77.56,moderate rain,0.1333,117.5,KOPKAR Hotel Bintang Sintuk
27,Tiznit,MA,84.29,clear sky,29.5833,-9.5,
30,Rikitea,PF,75.09,light rain,-23.1203,-134.9692,People ThankYou
31,Mirnyy,RU,77.23,clear sky,62.5353,113.9611,квартира
35,Shaunavon,CA,71.73,scattered clouds,49.6501,-108.4181,Bear's Den Lodge
46,Agde,FR,76.86,clear sky,43.3108,3.4758,CAPAO Beach Hôtel
48,Avarua,CK,75.25,few clouds,-21.2078,-159.775,Paradise Inn
50,Saskylakh,RU,72.64,broken clouds,71.9167,114.0833,
51,Ponta Delgada,PT,75.51,few clouds,37.7333,-25.6667,Vila Nova Hotel
52,Taldan,RU,77.38,scattered clouds,53.6667,124.8,
54,Shizunai,JP,72.01,overcast clouds,42.3339,142.3669,Shizunai Eclipse Hotel
59,Salinopolis,BR,78.69,broken clouds,-0.6136,-47.3561,Salinas Park Resort Maçarico AP101
62,Atuona,PF,77.05,light rain,-9.8,-139.0333,Villa Enata
65,Staunton,US,77.09,broken clouds,38.1496,-79.0717,Hotel 24 South
67,Vaini,TO,73.74,overcast clouds,-21.2,-175.2,Keleti Beach Resort
68,Sterling,US,76.89,overcast clouds,39.0062,-77.4286,Hampton Inn & Suites Washington-Dulles International Airport
