City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Weather Description
0,Bredasdorp,ZA,-34.5322,20.0403,49.93,94,68,5.95,broken clouds
1,Mar Del Plata,AR,-38.0023,-57.5575,55.09,98,100,1.99,overcast clouds
2,Rio Grande,BR,-32.035,-52.0986,62.71,97,51,8.48,broken clouds
3,Chokurdakh,RU,70.6333,147.9167,55.87,42,47,10.78,scattered clouds
4,Sinnamary,GF,5.3833,-52.95,79.07,81,22,5.53,few clouds
5,Nikolskoye,RU,59.7035,30.7861,64.29,91,95,4.85,overcast clouds
6,Ahipara,NZ,-35.1667,173.1667,59.14,73,98,11.97,overcast clouds
7,Cape Town,ZA,-33.9258,18.4232,54.12,90,41,1.01,scattered clouds
8,Puerto Ayora,EC,-0.7393,-90.3518,70.56,92,100,3.0,overcast clouds
9,Hithadhoo,MV,-0.6,73.0833,77.43,89,100,16.69,heavy intensity rain
10,Torbay,CA,47.6666,-52.7314,70.57,88,100,17.27,overcast clouds
11,Westport,US,41.1415,-73.3579,77.94,68,0,6.91,clear sky
12,Szigetujfalu,HU,47.2342,18.9275,66.74,80,45,8.32,scattered clouds
13,Bluff,NZ,-46.6,168.3333,44.8,90,100,20.74,light rain
14,Port Alfred,ZA,-33.5906,26.891,64.83,46,35,10.76,scattered clouds
15,Sidney,AU,-33.8679,151.2073,57.34,56,20,19.57,few clouds
16,Jamestown,US,42.097,-79.2353,71.24,40,0,8.05,clear sky
17,Albany,US,42.6001,-73.9662,74.05,64,61,5.08,broken clouds
18,Huangchuan,CN,32.1272,115.0394,80.67,87,6,5.12,clear sky
19,Jibuti,DJ,11.5,42.5,82.06,50,94,8.72,light rain
20,Eloy,US,32.7559,-111.5548,94.41,37,62,11.74,broken clouds
21,Punta Arenas,CL,-53.15,-70.9167,30.31,93,0,10.36,clear sky
22,Thompson,CA,55.7435,-97.8558,60.96,88,75,4.61,broken clouds
23,Dikson,RU,73.5069,80.5464,43.7,96,99,22.91,light rain
24,Fortuna,US,40.5982,-124.1573,65.93,76,36,3.0,scattered clouds
25,Whitehorse,CA,60.7161,-135.0538,77.77,27,75,10.36,broken clouds
26,Bontang,ID,0.1333,117.5,77.56,89,100,4.47,moderate rain
27,Tiznit,MA,29.5833,-9.5,84.29,30,0,5.26,clear sky
28,Svetlogorsk,BY,52.6333,29.7333,61.07,85,69,5.75,broken clouds
29,Ushuaia,AR,-54.8,-68.3,33.46,69,0,8.05,clear sky
30,Rikitea,PF,-23.1203,-134.9692,75.09,72,42,10.07,light rain
31,Mirnyy,RU,62.5353,113.9611,77.23,61,3,1.99,clear sky
32,Ostrovnoy,RU,68.0531,39.5131,60.48,72,99,18.57,overcast clouds
33,Dubna,RU,56.7333,37.1667,63.28,95,17,2.64,light rain
34,Hobart,AU,-42.8794,147.3294,52.05,80,20,5.75,few clouds
35,Shaunavon,CA,49.6501,-108.4181,71.73,39,50,13.67,scattered clouds
36,Lebu,CL,-37.6167,-73.65,51.4,85,2,14.56,clear sky
37,Provideniya,RU,64.3833,-173.3,51.37,71,0,18.01,clear sky
38,Hermanus,ZA,-34.4187,19.2345,55.53,86,64,1.34,broken clouds
39,Klaksvik,FO,62.2266,-6.589,50.92,81,92,7.9,overcast clouds
40,Havre-Saint-Pierre,CA,50.2334,-63.5986,57.56,88,0,9.22,clear sky
41,Qaanaaq,GL,77.484,-69.3632,42.44,68,40,2.28,scattered clouds
42,Tasiilaq,GL,65.6145,-37.6368,41.16,94,100,2.1,overcast clouds
43,Saldanha,ZA,-33.0117,17.9442,53.65,90,5,7.0,clear sky
44,Uryupinsk,RU,50.8047,42.0138,63.61,86,40,2.51,scattered clouds
45,Ballina,AU,-28.8667,153.5667,59.77,50,0,12.37,clear sky
46,Agde,FR,43.3108,3.4758,76.86,38,0,10.36,clear sky
47,Cherskiy,RU,68.75,161.3,51.57,47,12,10.22,few clouds
48,Avarua,CK,-21.2078,-159.775,75.25,60,20,20.71,few clouds
49,Severo-Kurilsk,RU,50.6789,156.125,55.0,81,95,5.37,overcast clouds
50,Saskylakh,RU,71.9167,114.0833,72.64,63,60,9.55,broken clouds
51,Ponta Delgada,PT,37.7333,-25.6667,75.51,94,20,6.91,few clouds
52,Taldan,RU,53.6667,124.8,77.38,60,38,8.08,scattered clouds
53,Ruthin,GB,53.1137,-3.3178,57.43,94,9,3.29,clear sky
54,Shizunai,JP,42.3339,142.3669,72.01,90,100,5.35,overcast clouds
